,nregistro,nombre,pactivos,labtitular,labcomercializador,cn,dosis,formaFarmaceuticaSimplificada,estado_aut,estado_rev,viasAdministracion,comerc,receta,generico,conduc,triangulo,huerfano,biosimilar,url_html_ficha_tecnica,url_foto_materiales,num_registros_atc,num_principios_activos
0,52105,ACTOCORTINA 373 mg POLVO PARA SOLUCIÓN INYECTABLE,HIDROCORTISONA FOSFATO SODIO,Cheplapharm Arzneimittel Gmbh,Laboratorios Rubio S.A.,606558,373 MG,INYECTABLE,128905200000,,VÍA INTRAMUSCULAR,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/52105/FT_52105.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/52105/52105_materialas.jpg,3,1
1,80248,AIRFLUSAL FORSPIRO 50 MICROGRAMOS/250 MICROGRAMOS/INHALACION POLVO PARA INHALACION (UNIDOSIS),"FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Sandoz Farmaceutica S.A.,Sandoz Farmaceutica S.A.,707896,50 microgramos/250 microgramos,INHALACIÓN PULMONAR,1447110000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/80248/FT_80248.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/80248/80248_materialas.jpg,3,2
2,80249,AIRFLUSAL FORSPIRO 50 MICROGRAMOS/500 MICROGRAMOS/INHALACION POLVO PARA INHALACION (UNIDOSIS),"SALMETEROL XINAFOATO, FLUTICASONA PROPIONATO",Sandoz Farmaceutica S.A.,Sandoz Farmaceutica S.A.,707904,50 microgramos/500 microgramos,INHALACIÓN PULMONAR,1447110000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/80249/FT_80249.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/80249/80249_materialas.jpg,3,2
3,62839,"ANASMA ACCUHALER 50 microgramos/100 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,842898,"0,1 mg / 0,05 mg",INHALACIÓN PULMONAR,945644400000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/62839/FT_62839.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62839/62839_materialas.jpg,3,2
4,62840,"ANASMA ACCUHALER 50 microgramos/250 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,700543,"0,25 mg / 0,05 mg",INHALACIÓN PULMONAR,945644400000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/62840/FT_62840.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62840/62840_materialas.jpg,3,2
5,62841,"ANASMA ACCUHALER 50 microgramos/500 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,700544,"0,5 mg / 0,05 mg",INHALACIÓN PULMONAR,945644400000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/62841/FT_62841.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62841/62841_materialas.jpg,3,2
6,63924,"ANASMA 25 MICROGRAMOS/125 MICROGRAMOS/INHALACION, SUSPENSION PARA INHALACION EN ENVASE A PRESION","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,816264,25mcg salmeterol/50 mcg  propionato de fluticasona,INHALACIÓN PULMONAR,990655200000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/63924/FT_63924.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/63924/63924_materialas.jpg,3,2
7,63925,"ANASMA 25 MICROGRAMOS/250 MICROGRAMOS/INHALACION, SUSPENSION PARA INHALACION EN ENVASE A PRESION","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,817684,25 mcg salmeterol/250mcg propionato de fluticasona,INHALACIÓN PULMONAR,990655200000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/63925/FT_63925.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/63925/63925_materialas.jpg,3,2
8,63923,"ANASMA 25 MICROGRAMOS/50 MICROGRAMOS/INHALACION, SUSPENSION PARA INHALACION EN ENVASE A PRESION","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,813089,25 mcg salmeterol/50 mcg propionato fluticasona,INHALACIÓN PULMONAR,990655200000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/63923/FT_63923.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/63923/63923_materialas.jpg,3,2
9,65226,ASMANEX TWISTHALER 200 microgramos POLVO PARA INHALACION,MOMETASONA FUROATO,Organon Salud S.L.,Organon Salud S.L.,744474,200 mcg,INHALACIÓN PULMONAR,1044918000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/pdfs/ft/65226/FT_65226.pdf,https://cima.aemps.es/cima/fotos/thumbnails/materialas/65226/65226_materialas.jpg,3,1
